show_id,Genre
s1863,Cult Movies
s1863,Dramas
s1863,International Movies
s1864,Comedies
s1864,International Movies
s1864,Romantic Movies
s1866,Comedies
s1866,International Movies
s1867,Dramas
s1867,International Movies
s1870,Comedies
s1870,International Movies
s1870,Romantic Movies
s1886,British TV Shows
s1886,Docuseries
s1886,International TV Shows
s1898,Comedies
s1898,Dramas
s1898,International Movies
s1939,Dramas
s1939,Independent Movies
s1939,International Movies
s1940,Comedies
s1940,Dramas
s1940,International Movies
s1941,Comedies
s1941,International Movies
s1941,Music & Musicals
s1942,Comedies
s1942,International Movies
s1942,Music & Musicals
s1943,Comedies
s1943,International Movies
s1943,Romantic Movies
s1944,Comedies
s1944,International Movies
s1944,Music & Musicals
s1945,Dramas
s1945,International Movies
s1945,Romantic Movies
s1946,Dramas
s1946,International Movies
s1946,Thrillers
s1947,Comedies
s1947,International Movies
s1947,Music & Musicals
s1951,Dramas
s1951,Independent Movies
s1951,International Movies
s1958,Action & Adventure
s1958,Sci-Fi & Fantasy
s1958,Sports Movies
s1972,Comedies
s1972,International Movies
s1973,Action & Adventure
s1973,International Movies
s1975,Dramas
s1975,International Movies
s1975,Romantic Movies
s1976,Comedies
s1976,International Movies
s1977,Dramas
s1977,International Movies
s1977,Thrillers
s1978,Dramas
s1978,Independent Movies
s1978,International Movies
s1983,International Movies
s1983,Thrillers
s2016,Dramas
s2016,International Movies
s2016,Thrillers
s2017,Dramas
s2017,International Movies
s2018,Dramas
s2018,International Movies
s2019,Dramas
s2019,International Movies
s2020,Comedies
s2020,Dramas
s2020,International Movies
s2021,Children & Family Movies
s2021,Dramas
s2021,International Movies
s2024,Dramas
s2024,International Movies
s2024,Romantic Movies
s2026,Comedies
s2026,Dramas
s2026,International Movies
s2027,Comedies
s2027,Dramas
s2027,International Movies
s2031,Comedies
s2031,Dramas
s2031,Independent Movies
s2075,Comedies
s2075,Dramas
s2075,International Movies
s2083,Comedies
s2083,International Movies
s2083,Romantic Movies
s2087,International TV Shows
s2087,TV Comedies
s2087,TV Dramas
s2104,Dramas
s2104,International Movies
s2104,Thrillers
s2127,Comedies
s2127,International Movies
s2127,Music & Musicals
s2142,Action & Adventure
s2142,Dramas
s2142,International Movies
s2187,Dramas
s2187,International Movies
s2187,Thrillers
s2194,Comedies
s2194,Dramas
s2194,Independent Movies
s2205,Comedies
s2205,International Movies
s2207,Dramas
s2207,Independent Movies
s2207,International Movies
s2265,Comedies
s2265,International Movies
s2265,Music & Musicals
s2266,Action & Adventure
s2266,Comedies
s2266,Dramas
s2267,Dramas
s2267,International Movies
s2267,Romantic Movies
s2268,Dramas
s2268,International Movies
s2269,Action & Adventure
s2269,Comedies
s2269,Dramas
s2270,Dramas
s2270,Independent Movies
s2270,International Movies
s2271,Comedies
s2271,International Movies
s2271,Music & Musicals
s2272,Comedies
s2272,Dramas
s2272,International Movies
s2273,Dramas
s2273,International Movies
s2273,Thrillers
s2274,Action & Adventure
s2274,Dramas
s2274,International Movies
s2275,Action & Adventure
s2275,Comedies
s2275,International Movies
s2277,Dramas
s2277,International Movies
s2277,Romantic Movies
s2278,Dramas
s2278,International Movies
s2278,Thrillers
s2279,Dramas
s2279,International Movies
s2279,Sports Movies
s2280,Dramas
s2280,Independent Movies
s2280,International Movies
s2281,Comedies
s2281,International Movies
s2281,Romantic Movies
s2282,Comedies
s2282,Dramas
s2282,International Movies
s2283,Comedies
s2283,Dramas
s2283,International Movies
s2285,Dramas
s2285,Independent Movies
s2285,International Movies
s2286,Action & Adventure
s2286,International Movies
s2287,Comedies
s2287,Dramas
s2287,International Movies
s2288,Comedies
s2288,Dramas
s2288,International Movies
s2289,Action & Adventure
s2289,Dramas
s2289,Independent Movies
s2290,Dramas
s2290,International Movies
s2290,Thrillers
s2291,Comedies
s2291,Dramas
s2291,International Movies
s2292,Comedies
s2292,International Movies
s2293,Kids' TV
s2293,TV Comedies
s2335,Dramas
s2335,International Movies
s2335,Romantic Movies
s2337,Dramas
s2337,International Movies
s2339,International Movies
s2339,Romantic Movies
s2340,Action & Adventure
s2340,Dramas
s2340,International Movies
s2341,Dramas
s2341,International Movies
s2341,Romantic Movies
s2343,Horror Movies
s2343,International Movies
s2348,Dramas
s2348,Independent Movies
s2348,International Movies
s2354,Comedies
s2354,Dramas
s2354,International Movies
s2390,Dramas
s2390,International Movies
s2393,Comedies
s2393,Dramas
s2393,Independent Movies
s2414,International Movies
s2414,Thrillers
s2415,Dramas
s2415,Independent Movies
s2415,International Movies
s2421,Dramas
s2421,International Movies
s2446,Comedies
s2446,Dramas
s2446,Independent Movies
s2459,Stand-Up Comedy
s2473,International TV Shows
s2473,TV Action & Adventure
s2473,TV Horror
s2501,Comedies
s2501,Dramas
s2501,Independent Movies
